trend_window,trend_threshold,rebalance,state_confirm,matrix_name,sizing_mode,cost_bps,fold_count,train_return_mean,train_sharpe_mean,train_sortino_mean,train_max_drawdown_worst,train_benchmark_return_mean,val_return_mean,val_sharpe_mean,val_sortino_mean,val_max_drawdown_worst,val_benchmark_return_mean,val_benchmark_max_drawdown_worst,val_pass_dd,test_return_mean,test_sharpe_mean,test_sortino_mean,test_max_drawdown_worst,test_benchmark_return_mean,test_benchmark_max_drawdown_worst
21,0.35,daily,1,default,matrix,5.0,4,0.1531152777441586,2.0405314053679997,3.0097380722294815,-0.0767169612427786,0.11514297641029506,0.16904485703271846,2.085105552896684,3.054753422149438,-0.059196630462975075,0.11389231246527207,-0.3392496000265325,True,0.08682458597998362,1.267357992771248,2.389073949763305,-0.053180172820884275,0.002469970476757996,-0.3392496000265325
21,0.5,daily,1,default,matrix,5.0,4,0.14759790228454348,2.0009456574762057,2.988169798232212,-0.07317369958601905,0.11514297641029506,0.1637477215623488,2.03068997059828,3.0143470752969925,-0.06803465158385547,0.11389231246527207,-0.3392496000265325,True,-0.011997674972120287,0.850237631456776,2.3617438095951635,-0.06803465158385547,0.002469970476757996,-0.3392496000265325
21,0.15,daily,1,default,matrix,5.0,4,0.1543453174190222,2.032864245244111,2.972170463290876,-0.07317369958601905,0.11514297641029506,0.17110594679951324,2.0691374610901256,2.9914824645190574,-0.06190017697123462,0.11389231246527207,-0.3392496000265325,True,0.017351055391090872,0.5913536381768044,2.2998885384504737,-0.06190017697123462,0.002469970476757996,-0.3392496000265325
21,0.25,daily,1,default,matrix,5.0,4,0.1546368832231535,2.0339614736896654,2.97452116593753,-0.0744765621466893,0.11514297641029506,0.16996931334893922,2.066447068750033,2.9767643021909413,-0.06322456829210932,0.11389231246527207,-0.3392496000265325,True,0.08731799798146885,1.2487708412561171,2.323022842880324,-0.059841790374624115,0.002469970476757996,-0.3392496000265325
21,0.35,daily,1,aggressive,matrix,5.0,4,0.16462957538518808,1.8739375920430377,2.7592697698518927,-0.09324710616099818,0.11514297641029506,0.18043408827924567,1.8849401753119612,2.796092651759988,-0.09161262991842123,0.11389231246527207,-0.3392496000265325,True,0.08707158302765941,1.1094627816804015,2.181713556140009,-0.09161262991842123,0.002469970476757996,-0.3392496000265325
21,0.15,daily,1,aggressive,matrix,5.0,4,0.1658596150600517,1.8749109247470643,2.74804363513097,-0.09075212035112079,0.11514297641029506,0.18249517804604043,1.8816126194657703,2.762400639052508,-0.09075212035112079,0.11389231246527207,-0.3392496000265325,True,0.017598052438766637,0.566200780229881,2.1189923482210515,-0.09075212035112079,0.002469970476757996,-0.3392496000265325
21,0.25,daily,1,aggressive,matrix,5.0,4,0.16615118086418298,1.8725804705750244,2.742272314139513,-0.09161262991842123,0.11514297641029506,0.18135854459546644,1.8735513410576787,2.7395659929246987,-0.09161262991842112,0.11389231246527207,-0.3392496000265325,True,0.08756499502914464,1.0966310259347556,2.128606225580122,-0.09161262991842112,0.002469970476757996,-0.3392496000265325
21,0.5,daily,1,aggressive,matrix,5.0,4,0.15911219992557296,1.834665402340107,2.7245965210328165,-0.09161262991842134,0.11514297641029506,0.17513695280887598,1.828266641859741,2.7381949433463433,-0.09161262991842112,0.11389231246527207,-0.3392496000265325,True,-0.011750677924444536,0.7338075338985232,2.1368469915975865,-0.09161262991842112,0.002469970476757996,-0.3392496000265325
42,0.35,daily,1,default,matrix,5.0,4,0.11988169770226244,1.5674950296962686,2.127976184675915,-0.09214956161588062,0.11514297641029506,0.12429602550931612,1.5200000681897998,2.0170128946200148,-0.09214956161588073,0.11389231246527207,-0.3392496000265325,True,0.08939649304359787,1.1075312059790599,1.5902354682739626,-0.09214956161588073,0.002469970476757996,-0.3392496000265325
42,0.15,daily,1,default,matrix,5.0,4,0.11471553695722747,1.4638190392039634,1.9486555353769623,-0.08109687798787113,0.11514297641029506,0.12357358218617541,1.497508098502427,1.991798865298369,-0.08109687798787124,0.11389231246527207,-0.3392496000265325,True,0.08903671086607651,1.0987380117091072,1.5923165440495857,-0.08109687798787124,0.002469970476757996,-0.3392496000265325
